Team,Team OPRs
207,100.5
724,85
3189,70
3409,76.3
5741,35
6133,125.9
6165,100.8
6272,122.4
6899,65.3
7129,62.2
7242,103.2
9415,112.2
9879,76.1
10477,74
10949,99.5
11260,126
11468,56.4
11770,79.4
12887,96.2
13181,67.8
14023,52.6
14140,111.1
14212,111.3
14361,135.5
14380,71.4
14503,98.9
15173,65.6
15342,77.2
15534,109.4
16410,84.7
16417,136.4
16671,69.8
17080,82.8
17962,125
18225,111.9
18317,90
18492,48.3
18527,100.9
18763,57.7
19366,45.6
19411,44
19502,125.4
19824,77.3
19889,74.6
22222,73.2
22508,99.2
22509,101.4
23114,23.5
